prec,prec_no,block,block_no
香川県,72,内海,0726
香川県,72,多度津,47890
香川県,72,引田,0730
香川県,72,滝宮,0729
香川県,72,竜王山,0731
香川県,72,財田,1239
香川県,72,香南,1475
香川県,72,高松,47891
愛媛県,73,三崎,0960
愛媛県,73,上林,0737
愛媛県,73,中山,0740
愛媛県,73,久万,0741
愛媛県,73,今治,1077
愛媛県,73,八幡浜,0743
愛媛県,73,四国中央,0735
愛媛県,73,大三島,0732
愛媛県,73,大洲,0959
愛媛県,73,宇和,0961
愛媛県,73,宇和島,47892
愛媛県,73,富郷,1260
愛媛県,73,御荘,0745
愛媛県,73,成就社,0738
愛媛県,73,新居浜,0734
愛媛県,73,松山,47887
愛媛県,73,松山南吉田,1521
愛媛県,73,瀬戸,1456
愛媛県,73,獅子越峠,0742
愛媛県,73,玉川,0733
愛媛県,73,西条,0958
愛媛県,73,近永,1350
愛媛県,73,長浜,0739
高知県,74,三崎,1556
高知県,74,中村,0763
高知県,74,佐喜浜,0757
高知県,74,佐川,0748
高知県,74,佐賀,1233
高知県,74,南国,0751
高知県,74,南国日章,1476
高知県,74,堂ケ森,0760
高知県,74,大栃,1229
高知県,74,大正,0761
高知県,74,安芸,0755
高知県,74,室戸岬,47899
高知県,74,宿毛,47897
高知県,74,後免,1249
高知県,74,成山,0749
高知県,74,本山,0746
高知県,74,本川,1351
高知県,74,梼原,0921
高知県,74,江川崎,1235
高知県,74,池川,1179
高知県,74,清水,47898
高知県,74,田野,0955
高知県,74,窪川,0758
高知県,74,繁藤,0747
高知県,74,船戸,0754
高知県,74,芸西,0752
高知県,74,須崎,0756
高知県,74,高知,47893
高知県,74,魚梁瀬,1281
高知県,74,鳥形山,0753
山口県,81,下松,0776
山口県,81,下関,47762
山口県,81,周東,0941
山口県,81,和田,1261
山口県,81,宇部,0778
山口県,81,安下庄,0779
山口県,81,山口,47784
山口県,81,岩国,0940
山口県,81,広瀬,0771
山口県,81,徳佐,0767
山口県,81,東厚保,1620
山口県,81,柳井,0942
山口県,81,桜山,0773
山口県,81,油谷,0939
山口県,81,瀬戸原,0770
山口県,81,玖珂,0913
山口県,81,秋吉台,0769
山口県,81,篠生,1367
山口県,81,羅漢山,1100
山口県,81,萩,47754
山口県,81,豊田,0772
山口県,81,鍋提峠,0768
山口県,81,長野山,1101
山口県,81,須佐,0765
山口県,81,鹿野,1614
福岡県,82,久留米,0790
福岡県,82,九千部山,0787
福岡県,82,八幡,0780
福岡県,82,前原,0785
福岡県,82,博多,1477
福岡県,82,大牟田,0793
福岡県,82,宗像,0943
福岡県,82,小倉,0781
福岡県,82,小呂島,1657
福岡県,82,早良脇山,1611
福岡県,82,曽根,1527
福岡県,82,朝倉,0788
福岡県,82,東谷,1637
福岡県,82,柳川,0945
福岡県,82,添田,1046
福岡県,82,福岡,47807
福岡県,82,空港北町,1590
福岡県,82,篠栗,0783
福岡県,82,耳納山,0791
福岡県,82,英彦山,0789
福岡県,82,行橋,0782
福岡県,82,頂吉,0944
福岡県,82,飯塚,47809
福岡県,82,黒木,0792
大分県,83,中津,0794
大分県,83,伏木,0797
大分県,83,佐伯,0808
大分県,83,佐賀関,0801
大分県,83,倉木,0809
大分県,83,出羽,0807
大分県,83,国見,1137
大分県,83,大分,47815
大分県,83,宇目,1142
大分県,83,日田,47814
大分県,83,杵築,1237
大分県,83,椿ヶ鼻,1554
大分県,83,武蔵,0796
大分県,83,温見,0804
大分県,83,湯布院,0799
大分県,83,湯平,0803
大分県,83,犬飼,0805
大分県,83,玖珠,0932
大分県,83,竹田,0806
大分県,83,耶馬渓,0979
大分県,83,臼杵,0933
大分県,83,蒲江,0810
大分県,83,豊後高田,0795
大分県,83,釈迦岳,0802
大分県,83,院内,0931
長崎県,84,上大津,1479
長崎県,84,五家原岳,0819
長崎県,84,佐世保,47812
長崎県,84,佐須奈,0811
長崎県,84,千々石,1452
長崎県,84,厳原,47800
長崎県,84,口之津,0922
長崎県,84,国見山,0815
長崎県,84,大村,1084
長崎県,84,大瀬戸,0817
長崎県,84,小値賀,1535
長崎県,84,島原,0962
長崎県,84,平戸,47805
長崎県,84,普賢岳,1446
長崎県,84,有川,1080
長崎県,84,有川,1138
長崎県,84,松浦,0814
長崎県,84,深江,1442
長崎県,84,百花台,1451
長崎県,84,石田,1478
長崎県,84,福江,47843
長崎県,84,美津島,1538
長崎県,84,脇岬,1670
長崎県,84,芦辺,1144
長崎県,84,西海,1672
長崎県,84,諫早,0820
長崎県,84,野母崎,1441
長崎県,84,長崎,47817
長崎県,84,長浦岳,0818
長崎県,84,雲仙岳,47818
長崎県,84,頭ヶ島,1536
長崎県,84,鰐浦,1453
佐賀県,85,伊万里,1075
佐賀県,85,佐賀,47813
佐賀県,85,八幡岳,0827
佐賀県,85,北山,1616
佐賀県,85,和多田,0825
佐賀県,85,唐津,1610
佐賀県,85,多良岳,0831
佐賀県,85,大町,1667
佐賀県,85,嬉野,0830
佐賀県,85,川副,1480
佐賀県,85,枝去木,0824
佐賀県,85,権現山,0826
佐賀県,85,白石,0829
佐賀県,85,鳥栖,1612
熊本県,86,一勝地,1581
熊本県,86,一里山,0850
熊本県,86,三角,1081
熊本県,86,上,0926
熊本県,86,五家荘,1158
熊本県,86,五木,1368
熊本県,86,人吉,47824
熊本県,86,俵山,0838
熊本県,86,八代,0846
熊本県,86,南小国,0833
熊本県,86,南阿蘇,1660
熊本県,86,多良木,0925
熊本県,86,大金峰,0844
熊本県,86,宇土,1580
熊本県,86,屋形山,1156
熊本県,86,山江,1435
熊本県,86,岱明,0834
熊本県,86,戦山,0847
熊本県,86,本渡,0845
熊本県,86,松島,0843
熊本県,86,水俣,0924
熊本県,86,湯前横谷,1086
熊本県,86,熊本,47819
熊本県,86,牛深,47838
熊本県,86,田浦,0946
熊本県,86,甲佐,0842
熊本県,86,白髪岳,0851
熊本県,86,益城,0923
熊本県,86,茶臼峠,1088
熊本県,86,菊池,0835
熊本県,86,間の谷山,0841
熊本県,86,阿蘇乙姫,1240
熊本県,86,阿蘇山,47821
熊本県,86,鞍岳,0836
熊本県,86,高森,0840
熊本県,86,鹿北,0832
宮崎県,87,えびの,0862
宮崎県,87,上椎葉,1433
宮崎県,87,中小屋,0854
宮崎県,87,串間,0872
宮崎県,87,加久藤,0860
宮崎県,87,北方,1432
宮崎県,87,古江,1135
宮崎県,87,国富,0865
宮崎県,87,大中尾,0853
宮崎県,87,宮崎,47830
宮崎県,87,小林,0863
宮崎県,87,山田,1624
宮崎県,87,延岡,47822
宮崎県,87,日之影,1609
宮崎県,87,日向,0857
宮崎県,87,椎葉,1636
宮崎県,87,油津,47835
宮崎県,87,深瀬,1164
宮崎県,87,猪原,0856
宮崎県,87,田野,1663
宮崎県,87,矢櫃岳,0858
宮崎県,87,神門,1353
宮崎県,87,西米良,1345
宮崎県,87,見立,1275
宮崎県,87,諸塚,1343
宮崎県,87,赤江,1481
宮崎県,87,都城,47829
宮崎県,87,都農,1608
宮崎県,87,野尻,0864
宮崎県,87,霧島御池,0867
宮崎県,87,青島,0868
宮崎県,87,鞍岡,1348
宮崎県,87,高千穂,0852
宮崎県,87,高原,1623
宮崎県,87,高鍋,0859
宮崎県,87,鰐塚山,0870
鹿児島県,88,さつま柏原,0878
鹿児島県,88,上中,0898
鹿児島県,88,与論島,1277
鹿児島県,88,中之島,1540
鹿児島県,88,中甑,0879
鹿児島県,88,中種子,0897
鹿児島県,88,伊仙,1139
鹿児島県,88,佐多,1161
鹿児島県,88,八重山,0882
鹿児島県,88,内之浦,0895
鹿児島県,88,出水,0934
鹿児島県,88,加世田,0887
鹿児島県,88,古仁屋,0980
鹿児島県,88,古原野,0874
鹿児島県,88,名瀬,47909
鹿児島県,88,喜入,0890
鹿児島県,88,喜界島,1296
鹿児島県,88,大口,0875
鹿児島県,88,大隅,1149
鹿児島県,88,天城,1542
鹿児島県,88,宝島,1647
鹿児島県,88,小宝島,1655
鹿児島県,88,尾之間,0899
鹿児島県,88,屋久島,47836
鹿児島県,88,川内,0880
鹿児島県,88,平島,1658
鹿児島県,88,志布志,0936
鹿児島県,88,指宿,0893
鹿児島県,88,東市来,0883
鹿児島県,88,枕崎,47831
鹿児島県,88,権現ケ尾,0884
鹿児島県,88,沖永良部,47942
鹿児島県,88,溝辺,0881
鹿児島県,88,牧之原,0935
鹿児島県,88,甫与志岳,0894
鹿児島県,88,田代,1136
鹿児島県,88,矢止岳,1104
鹿児島県,88,種子島,47837
鹿児島県,88,笠利,1520
鹿児島県,88,紫尾山,0877
鹿児島県,88,肝付前田,1181
鹿児島県,88,肝属川,0891
鹿児島県,88,諏訪之瀬島,1654
鹿児島県,88,輝北,1146
鹿児島県,88,阿久根,47823
鹿児島県,88,霧島牧園,1625
鹿児島県,88,高峠,0886
鹿児島県,88,魚野越,0876
鹿児島県,88,鹿児島,47827
鹿児島県,88,鹿屋,0937
沖縄県,91,下地島,1490
沖縄県,91,与那国島,47912
沖縄県,91,与那覇岳,0902
沖縄県,91,久米島,47929
沖縄県,91,仲筋,1491
沖縄県,91,伊原間,1145
沖縄県,91,伊是名,1147
沖縄県,91,伊良部,1246
沖縄県,91,北原,1534
沖縄県,91,北大東,1517
沖縄県,91,南大東（南大東島）,47945
沖縄県,91,名嘉真,0905
沖縄県,91,名護,47940
沖縄県,91,呉我山,0903
沖縄県,91,国頭,1586
沖縄県,91,城辺,1248
沖縄県,91,多良間,1247
沖縄県,91,大原,1251
沖縄県,91,奥,0901
沖縄県,91,安次嶺,1482
沖縄県,91,宮古島,47927
沖縄県,91,宮城島,1596
沖縄県,91,川平,1250
沖縄県,91,志多阿原,1494
沖縄県,91,慶良間,1516
沖縄県,91,所野,1493
沖縄県,91,旧東,1518
沖縄県,91,本部,1373
沖縄県,91,東,1374
沖縄県,91,波照間,1354
沖縄県,91,渡名喜,1651
沖縄県,91,渡嘉敷,1152
沖縄県,91,盛山,1639
沖縄県,91,真栄里,1484
沖縄県,91,石垣島,47918
沖縄県,91,粟国,1515
沖縄県,91,糸数,0909
沖縄県,91,胡屋,0907
沖縄県,91,西表島,47917
沖縄県,91,読谷,0906
沖縄県,91,那覇,47936
沖縄県,91,金武,1064
沖縄県,91,鏡原,1483
南極,99,昭和,89532
